"id","track_id","artist_popularity","genres","name","followers"
"3MZIxeB762kFLJ8ceou6uJ","73WL44o72OwkBuQmW9KdaH","39.0","['belgian indie', 'belgian pop', 'belgian rock']","Trixie Whitley","20952.0"
"6gGkPp4S8NRus9KxxxmPzy","2ayLc8INRxZYW7NHQgz8mz","32.0","[]","Kimo Hussey","581.0"
"7cTvdUU1BZYBATq6QdfZO6","0WRPRVhGwoFdsz0eZY3Vwg","35.0","['classical piano']","Alan Feinberg","313.0"
"2CqBr2JxRRQ8ZeLzX2hMxB","4jBBYrd68oDG8QCFnO0PCA","0.0","[]","Joachim Kretzer","0.0"
"1TMrnxBwZfmfRxsGzkNIHw","2PijveBc576V08lWc5ymdp","67.0","['christian hip hop']","Andy Mineo","333944.0"
"0WI8OfWCRvK4nGHmKfFQmd","2a3QErPFLUbtRkjnQgnW9h","62.0","['latin christian', 'latin worship', 'rap cristiano']","Alex Zurdo","356889.0"
"2lavN1jSzxltqQ5mHe32Ru","0VqOmzHd245anUEdtxonjB","25.0","[]","Ghost-Note","130.0"
"6PzIdGm3OmjEjT0OgnlWeo","4jDMIiLf6D1HC0GS3j5VcI","28.0","[]","鄧典果","5.0"
"57n1OF36WvtOeATY6WQ6iw","4wNndJWTgjmPzko0RD0Z9q","61.0","['uk hip hop']","Digga D","11253.0"
"7nSWA1659h0Vb1EyjJdSFV","3smQlUPp4ZZxcpQtYNZ7N6","32.0","['arab alternative', 'arab groove', 'palestinian pop', 'syrian pop']","TootArd","6660.0"
"7Cyxcco8pURt6wdRtAGiT5","2ESWovaZgVi3BMloGgukKw","29.0","[]","Ludvig Eriksson","2.0"
"5rm0DojzB3HDGjA2iS40cd","0Ky8528v9lxA86Fyz905ee","38.0","['deep tech house']","Ron Costa","2787.0"
"3ExFFbNEL1NWmOh9keikr7","2ayLc8INRxZYW7NHQgz8mz","34.0","['ukulele']","Imua Garza","230.0"
"64DFKvGarD5nmkfaIiiakf","4TVJqfSW4ohBQsyH4ayin1","51.0","['cuarteto']","La Mona Jimenez","68691.0"
"55mdlQp6zN8zdyIYB9DDQj","5qgeroSD73ntuI7LI9jdBk","64.0","['finnish dance pop', 'finnish hip hop', 'finnish pop']","JVG","171376.0"
"2e4nwiX8ZCU09LGLOpeqTH","2fJprIKyol3KpcP1wgqEge","72.0","['europop', 'italian pop', 'latin', 'latin arena pop', 'latin pop', 'mexican pop']","Laura Pausini","1055450.0"
"02aXPl7xsSoWlV77cUXtbm","5vKUv2X4ZPDE6JDrVjQS6Y","39.0","['baile pop', 'brazilian indie', 'mangue bit', 'mpb', 'nova mpb', 'pernambuco alternative']","Karina Buhr","36092.0"
"0xTcxl35DKXUeYRWqY10w6","7FREL97FImTdOrBHZCP8DV","60.0","['atl hip hop', 'atl trap', 'gangster rap', 'rap', 'southern hip hop', 'trap music', 'vapor trap']","Peewee Longway","228984.0"
"1Uyqa2sdHm1bL5JK4IC4zc","3HKiR4t12GW18bnPUVhx5l","52.0","['brostep', 'electro house', 'electronic trap', 'zapstep']","Wooli","18840.0"
"3TAYxk5QBcHunmb0qkeTn2","36uH1hTvdwypzFKCyMFRLT","59.0","['classic italian pop', 'italian arena pop', 'italian pop']","Francesco Renga","298243.0"
"0z9s3P5vCzKcUBSxgBDyLU","2e7cqTtXsEmSwrFRHUXA8F","51.0","['british contemporary classical', 'british soundtrack', 'compositional ambient', 'fourth world', 'soundtrack']","Jonny Greenwood","61119.0"
"6TaaqqCMRMSpvNHClfnbEL","3VPBqHUd17ZvEgabW9ZOUU","54.0","['chillstep', 'deep liquid', 'drum and bass', 'liquid funk']","Maduk","43739.0"
"4ug3P1K8BaCdJXROrqHqhu","0blvAKKClk7TbR3FbgOzDg","39.0","[]","Winnetka Bowling League","3656.0"
"21mKp7DqtSNHhCAU2ugvUw","59wlTaYOL5tDUgXnbBQ3my","75.0","['chillwave', 'ninja', 'tropical house']","ODESZA","891692.0"
"3WanlQjdrG944TvUX4jj0L","4AOgj0qegbby49dTRGMKBB","36.0","[]","Flush","212.0"
"7iymigONRODGl6XJIprcuF","3mD8rKs6rtOO3RUwNTIweI","55.0","['canadian electropop']","Jocelyn Alice","9439.0"
"6auWB5YAlcKaHyrbTH66nd","4qjLvvBh5ZeKEPyShKRf06","60.0","[]","No Rome","43821.0"
"5CiwWtSI0zS7UmBdaGStZg","43JEZcLb9xNy1fiaCOm71R","7.0","[]","Marisa Canales","82.0"
"24Rzfui4UwLMlhZcWYYk7P","1zvaKQe9SFSfC2UGBwBxDS","19.0","['israeli indie']","Hila Ruach","2284.0"
"3JbdUNqF6bo2a2lI6l73Ae","7jU8zqEHdKjkUSuQmT8EKD","13.0","[]","Len Vorster","42.0"
"5hwdCe5FQdOLrfS6r5zR2A","5NgwBg3Omt0HcyVPiCfKWX","27.0","['indie psych-rock', 'indie quebecois']","Foreign Diplomats","2553.0"
"4wBTo4kWwX1mWNaFBo4l6t","7H6TODbeHNHJTi72xlT5Ly","5.0","[]","Bob Hartman","37.0"
"0nzV2U3TuoZhNqZFW564NI","2wYr2B2pujq0tRQYZIMoRv","17.0","['afro house']","Chymamusique","4343.0"
"5p8OENeK8MwGxxyAN3Dtbq","1pvvfWnFF3va8LrjbUDx8S","21.0","['hindustani classical', 'hindustani instrumental', 'indian classical']","Aashish Khan","177.0"
"312NPtOleVPX5IWPxlRkqY","7fcEDkjCsB6ek5bgZEfqFX","30.0","[]","Vaizar","133.0"
"2kMM5v3f7rti00gIbVc1Tk","4mlKWuz9VRlG542JyRagHZ","37.0","['baroque', 'bohemian baroque', 'classical', 'early music']","Heinrich Ignaz Franz von Biber","6763.0"
"46PiSMoqr45oKsBesjqlKv","1nh3bUbH8smaGxFTJdCCmn","36.0","['celtic', 'irish folk', 'jig and reel']","Martin Hayes","5413.0"
"1gydLLHpbmraVz1LVZCW83","5socO1OYhLygHYGf3Urbql","48.0","[]","pronouncedyea","4283.0"
"5lX1LzQavw8sPKpL6hOS0V","11jAVzBi6jVe6iLhl0vzLk","15.0","[]","Eeva-Liisa Saarinen","10.0"
"4rPGB8TvljplPZDjpLAdAF","5zEdEx6ZenjF9Rtos9oMsT","25.0","['irish singer-songwriter']","Duke Special","5748.0"
"5Nh7qy3aumpMXJ8uyiyJD4","5HrgQn7A3F1st6UWiQIYgi","30.0","[]","LEN X's TEN","10.0"
"3If1CcrLGqjVA4szNh1q6G","2BwVQIHkR3wbQvzDUud8sy","41.0","[]","Paisley Pink","64.0"
"2kreKea2n96dXjcyAU9j5N","1ot6jEe4w4hYnsOPjd3xKQ","65.0","['adult standards', 'dance rock', 'disco', 'girl group', 'hi-nrg', 'mellow gold', 'motown', 'new wave pop', 'post-disco', 'quiet storm', 'soft rock']","The Pointer Sisters","268717.0"
"5TTV6plK4r2BDMUyyl7cC9","6ur8qSqusI1nrkExPxD8cF","35.0","[]","Alka Yagnik & Arvind Hasabnish","28.0"
"5Zkp6UaHTafGRXROGj6W0S","4ZUzKmFRxPP36frgtG0hxO","40.0","['arab pop', 'iraqi pop', 'khaliji']","Mohamed Alsalim","24600.0"
"4K6blSRoklNdpw4mzLxwfn","6950QVo1P8TFWi9Idrmjio","57.0","['desi', 'desi hip hop', 'filmi', 'indian folk', 'indian pop', 'modern bollywood', 'sufi']","Kumar Sanu","110282.0"
"5OG4S2qn54NS8AAw5dCbgN","6EDmDAvsFWP78UQmJjnKVk","38.0","['vallenato']","Farid Ortiz","92123.0"
"3MrmWLUMPSd1b4oEsg2yYr","3EwAG7SM8Ur7haI1HBbFYx","25.0","[]","FOL","49.0"
"0nJUwPwC9Ti4vvuJ0q3MfT","783JfOa6qKdh869RO4cleX","62.0","['alternative country', 'country rock', 'folk', 'folk rock', 'folk-pop', 'mellow gold', 'new americana', 'outlaw country', 'rock', 'roots rock', 'singer-songwriter', 'texas country', 'traditional country', 'traditional folk']","John Prine","160485.0"
"1AR4weKRSJg1NswV2HUjm8","3i6vzqXn09oXPDzSVCwmca","21.0","['argentine jazz']","Manuel Fraga","275.0"
"5vKWepuMbUEPh8iRpbpoxp","2TRnGpS22VVPyepaQM1shZ","29.0","[]","Aust","436.0"
"12mbpzyxvmv9X0hEascBqo","3p3f98XRqoCcXda0AVbLtl","45.0","['deep swedish hip hop']","Fungz","1372.0"
"7MqnCTCAX6SsIYYdJCQj9B","0jSvm9INXBdV6fzFbONmD7","64.0","['australian dance', 'drum and bass', 'edm', 'electronic']","Pendulum","593672.0"
"1c22GXH30ijlOfXhfLz9Df","45sGyAtAxD6efaN0bJAFgh","69.0","['latin', 'merengue', 'tropical']","Elvis Crespo","312556.0"
"6mDl7lQiLxT0iQ8LYhAlWy","2KpaPqHeadvO6uoM0e414L","50.0","['brazilian electronica']","Zerb","9014.0"
"6AyvSIi2EyLOaMJCc6J5fZ","6zBXX84px8wiiduSE99yhg","58.0","['adoracao', 'brazilian gospel', 'louvor', 'rock gospel brasileiro', 'world worship']","Leonardo Gonçalves","449233.0"
"1d18M8wVkvWhBCDhosj782","2hmdWr3UjU3aXS4KjhQgex","16.0","[]","Tibor Nemes","2.0"
"0Mg2jLnyWUHWIDj2Xmkh3P","27KbKYGsFSKkDwOwNjvUZO","25.0","[]","Gal Toren","284.0"
"0gMacYqGL47T7Y809WkGVV","1lkwSSpSzDgzMwQYH5DQhQ","3.0","[]","SundaySong","46.0"
"1gR0gsQYfi6joyO1dlp76N","0oBwbnefM7yniHJPjNrIVK","64.0","['alternative dance', 'dance-punk', 'electro house', 'electronic', 'filter house', 'indietronica', 'new rave']","Justice","752882.0"
"1nMwu5ui0X2XYTRKGmCFJz","7E1zd4pKf1VkWrbyO8jzwO","42.0","[]","A-SHO","1172.0"
"2O6rfsAZeMm2x4jxOjrG4V","11jAVzBi6jVe6iLhl0vzLk","35.0","['classical bass']","Matti Salminen","1412.0"
"0DIkDWKcbcnBrLwbqL4jdS","6E8WgATTUEIJBHPAfTtnq4","24.0","[]","Fabrikate","917.0"
"0Gbrwt1vbFedy4poRNoBsj","4jBBYrd68oDG8QCFnO0PCA","0.0","[]","Florian Leroy","2.0"
"7yF6JnFPDzgml2Ytkyl5D7","6qcb2k28Y5lMnfP5khTZgr","52.0","['aussietronica', 'deep house', 'disco house', 'float house', 'house', 'lo-fi house']","Mall Grab","57280.0"
"4cWDj4v7WAydE1CEl45G8w","0apAf4Z92JtMXMeYH3C5Ig","23.0","[]","Pancho Sazo","21.0"
"329e4yvIujISKGKz1BZZbO","6Bc48Fgqgb6j4K6JdkZTNk","90.0","['latin', 'reggaeton', 'trap latino', 'tropical']","Farruko","5219724.0"
"4YuviELTmYBvDR66ThrMy9","2wYr2B2pujq0tRQYZIMoRv","29.0","['afro house', 'kwaito house', 'south african pop']","Da Capo","10224.0"
"5sYNU2X0Fvw3iAqWTqwWjz","5sSNo5SWNWhC4pFsH5ta2C","46.0","['classical piano']","Javier Perianes","1625.0"
"0G7A5LzQAs2egiQl7hO5tV","4WL18zolDiPToRXggigJwg","56.0","['argentine rock', 'rock en espanol', 'rock nacional']","Virus","109981.0"
"003f4bk13c6Q3gAUXv7dGJ","2cwLN0WGZYUvRiSmBJD9rq","68.0","['classical', 'classical performance', 'orchestra']","Wiener Philharmoniker","54455.0"
"6G6Py0ET2H4GQnRqQ6AuQN","3JcnUSK79Sj13vvP6q0puv","16.0","['israeli rock']","Shahar Even Tzur","131.0"
"31HoP2gyIbYEQ011uUuTQL","1dkecHBEZgIJuUn7B3dv86","11.0","[]","Kari Hamnoy","0.0"
"41ESHLayJ5sDKjAOv6cMhe","0tzixmHNQfE6S6SirSToxW","68.0","['grupera', 'latin', 'latin pop', 'ranchera']","Ana Gabriel","1081683.0"
"5VcLs7XsTFlhhaW3I4i4gC","2TzyJEUfWHGRsk3r6Emvbk","41.0","[]","Param Singh","16273.0"
"55fhWPvDiMpLnE4ZzNXZyW","0IYbYGGVKQGlcaIu9Bs1Iz","75.0","['dance pop', 'pop', 'post-teen pop']","Noah Cyrus","378815.0"
"6P6fVBXZjnqdgq2z2b8WlO","31wdi9lHh22ggUvQzTIsxj","61.0","['brazilian electronica', 'complextro', 'edm', 'electro house']","FTampa","181200.0"
"6uZ5IDLoo9qEQLW7aY7zdM","2VxItoS2Zw3hytTbVkle85","21.0","[]","Mikael Samuelson","590.0"
"7rNbdH4pgrnwguvzxhA2Ek","0JtZBMHwQH0KKmzGJRH2jV","59.0","['cumbia', 'ecuadorian pop', 'latin', 'latin pop', 'tropical', 'vallenato']","Jorge Celedón","627154.0"
"4tK1TZjoCeKTUr5flyNcxN","4lQm3oH3tgHBtXNKlZbWMK","27.0","['classical era', 'galante era']","Carl Friedrich Abel","1180.0"
"1DcaKBFFoVa4dU95oR5l9L","4a2qoYY6xINDXtUOBFbJ6d","46.0","['classical clarinet']","David Shifrin","721.0"
"17SbhL3sy2cOMZ4sMvVFlI","7tGs3qEdxRPpu6EXahlICf","36.0","['hawaiian', 'slack-key guitar']","Daniel Ho","553.0"
"1Ma3pJzPIrAyYPNRkp3SUF","3s3ASxlj1eb23RquaJ5mP3","54.0","['deep house', 'float house', 'lo-fi house']","Ross from Friends","51075.0"
"0RtUBiNhBsOTwY3GQWFAVT","2TzyJEUfWHGRsk3r6Emvbk","41.0","[]","Pratik Studio","12.0"
"0nZEjK9e9gIrtx76GtA138","2O8KLCim97ms9i2H5awRCf","7.0","['indian edm']","WEMIX","49.0"
"0r8toju2ecKaVtItkzAnNi","2avr7FGeF1nE5dCPuZNxxd","68.0","['grupera', 'latin', 'latin alternative', 'latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'pop', 'rock en espanol']","Aleks Syntek","557697.0"
"4Q9z4se5pHimOE8PUijvkE","1DxNyUOrMpJbIrdKP9gr0w","38.0","[]","Sloan Evans","685.0"
"0bk1zGf1qLB7YC2NXPByE3","2k6RWRsm2yYD8lOJjer5qa","45.0","[]","Sofia Hervier","177.0"
"1KBoKfkaxjSKZsmD9XCg3B","6zyRNdOZbIX9U2LszJf8mq","26.0","['american choir']","Choir of Trinity Wall Street","241.0"
"2DlGxzQSjYe5N6G9nkYghR","4d2hD63oUGU3s7L66JD0BE","78.0","['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']","Jennifer Lopez","6115823.0"
"6DtcjD25RaePDZCruOTzjU","0rUF7ZKv2g8EV8zMJu34U3","36.0","[]","Monchi","53.0"
"1QeC5GwDENQv78O3PCLeZB","0WRPRVhGwoFdsz0eZY3Vwg","39.0","['american romanticism', 'post-romantic era']","Amy Beach","1341.0"
"5bf6yYgHODBW5EreBZshpX","6ndmKwWqMozN2tcZqzCX4K","65.0","[]","Styles Of Beyond","24128.0"
"2PxsMrjxQdySklBP1NkO5g","1nqMB2u775WI5P77OSdFMS","10.0","['american modern classical', 'contemporary classical']","David Diamond","319.0"
"01ts5a7R3WkeE2oKIouXEK","0j1lzFyh427bXhDHLeth6q","32.0","['banjo', 'bluegrass', 'progressive bluegrass']","Alison Brown","2175.0"
