"id","href","album_id","key","track_number","artists_id","energy","loudness","valence","danceability","playlist","speechiness","popularity","liveness","tempo","duration_ms","acousticness","available_markets","lyrics","disc_number","instrumentalness","preview_url","name"
"7nV9tEQfpVWYwRgLjGghUh","https://api.spotify.com/v1/tracks/7nV9tEQfpVWYwRgLjGghUh","5TWOWpWProsNkD8QVC2Hhy","7.0","39.0","['4M0PZyOPSvjzFEBRg3G8xA']","0.52","-11.408","0.802","0.745","Hörspielzeit: Tabaluga","0.886","14.0","0.135","85.081","90213.0","0.694","""['AT', 'CH', 'DE', 'LI']""","""
In the land of San Domingo
Lived a girl called Oh By Jingo
From the fields and from the marshes
Came the young and oh by goshes
They all spoke with a different lingo
But they all loved Oh By Jingo
And every night
They sang in the pale moonlight
Oh By Gee, By Gosh, By Gum, By Jove
Oh By Jingo, won't you hear our love?
We will build for you a hut
You will be our favorite nut
We will have a lot of little oh By Gollies
And we'll put them in the follies
By Jingo said, â€½By Gosh, By Gee
By Jiminy, please don't bother meâ€
So they all went away singing
Oh By Gee, By Gosh, By Gum, By Jove, By Jingo
By Gee, you're the only girl for me
Oh By Gee, By Gosh, By Gum, By Jove
Oh By Jingo, won't you hear our love?
We will build for you a hut
You will be our favorite nut
We will have a lot of little oh By Gollies
And we'll put them in the follies
By Jingo said, â€½By Gosh, By Gee
By Jiminy, please don't bother meâ€
So they all went away singing
Oh By Gee, By Gosh, By Gum, By Jove, By Jingo
By Gee, you're the only girl for me
""","1.0","0.0","https://p.scdn.co/mp3-preview/81a4e227a7224d1177e8f9b55927fd1cf2730b27?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c","Prüfung mit Hindernissen - Teil 19"
"4afJWj5CVZhfHsoTChHRF1","https://api.spotify.com/v1/tracks/4afJWj5CVZhfHsoTChHRF1","32Fn9trG8M7M9oSmh7es8t","10.0","19.0","['3QYSNiMCfm1Roaef3WpmpC']","0.444","-10.646","0.71","0.569","Parhaat suomihitit 90-luvulta","0.0272","19.0","0.088","87.001","181080.0","0.723","""['DK', 'FI', 'IS', 'NO', 'SE']""","""
Turhaan aivan turhaan
Minä yöllä hamuan sua viereltäin
Turhaa aivan turhaa
On sitä kieltää ikäväin jo lähteissäin
(kerto)
Kuuran kukkasia piirtyneen sun ikkunaasi näin
Kuuran kukkia nyt kannan sisälläin
Lämpö päivänkään ei niitä sieltä pois voi sulattaa
Ne siellä kukkii mihin varjo lankeaa
Turhaa aivan turhaa
On jälkiänsä käydä seuraamaan
Turhaa aivan turhaa
Se mitä etsii enää ei oo ennallaan
Kerto
Turhaa aivan turhaa
On katkeruutta kantaa sisällään
Turhaa aivan turhaa
Kun muuta muuttaa ei voi kuin itseään
Kerto (x2)
Kerto + häivytys
""","1.0","0.0","https://p.scdn.co/mp3-preview/c10c2fe034e934b3a455cb613434879ac0e57dde?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c","Kuurankukka"
"5TYaZCwVVg5GpA74D0Xkov","https://api.spotify.com/v1/tracks/5TYaZCwVVg5GpA74D0Xkov","0EEjeCr6y0299smCkcWSN3","2.0","7.0","['53ExZJvuH0EtML6YKbLPGV']","0.725","-6.006","0.902","0.8","Pacífico Colombiano","0.0445","11.0","0.0937","159.914","272393.0","0.689","""['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']""","""
Atencin rumberos y rumberas, aqu les
Llega un funky bugal
Con la participacin especial de ChocQuib Town y La 33
Para que lo goces de aqu hasta Cafarnan
Eso es lo que hay!
Coro
Yo no me como ese pescao as sea del
Choc
Ese pescao envenenao se no lo como yo
(2x)
Mucho ojo mi gente que quieren envenenarte la cabeza
Con pescao malo en la mesa
Pero eso a m no me estresa
Ojo mucho ojo que el trfico de influencias
De gente que sin decencia
Quieren verte en decadencia
Porque la envidia es mala
La gente sale con vainas raras -eh!-
Problemas traen balas
La prxima vez te doy en la cara
Por darme tu pescao envenenao te llevo en
La mala
Saca las manos de mi bolsillo, no me vas
A tumbar
Con ese cuento tan raro no me vas a robar
A otro perro con ese hueso, te rompo la
Boca y all no ponen yeso
Dices que produces ms que quien? Que
El mejor?
Sabiendo que lo que te doy es puro sabor
Si algn da te llame sonero
Hoy eres peor que poltico embustero
Toma!
Coro
No me gusta tu tumbao, mucho menos tu
Pescao
A m no me lo des que ya te tengo pillao
Cada cuatro aos se ve venta de bacalao
Menos mal que mantengo los bolsillos
Apretaos
El fanatismo!
No deja ver por encima del
Ocultismo
Manejan los polticos y se llevan a los
Mismos
Pelaos, qu hacen en esa estera?
No coman el pescao que les quieren dar la pela
Bidi bidi, dududen dududem!
Ests cerca de m y no me quieres Qu
Bien!
Me quieres ver pasando al otro lado
Por eso es que me das tu pescao envenenado
Ja ja! Qu risa me da!
Primero caes vos antes de que me puedas
Tocar
Toma un consejo para la posteridad
Vete de aqu mala energa y no vuelvas
Ms
Pescaoo envenenaoo, pescaoo envenenaoo
(4x)
Coro
""","1.0","3.16e-05","https://p.scdn.co/mp3-preview/49b42750c6ea04f54677812a7ab00fff6314b7f6?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c","El Goterero"
"1pvvfWnFF3va8LrjbUDx8S","https://api.spotify.com/v1/tracks/1pvvfWnFF3va8LrjbUDx8S","5shZ28NNUrgvj8bsSuAo40","11.0","2.0","['7CozfB3IEACZpAelpwkUon', '5p8OENeK8MwGxxyAN3Dtbq', '7wRuaMUZKArrp2sQCaC2LT']","0.529","-8.987","0.37","0.511","Indian Classical Music For Studying","0.0397","33.0","0.115","103.583","1309209.0","0.771","""['AD', 'AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'LB', 'LI', 'LT', 'LU', 'LV', 'MC', 'MT', 'MX', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'RO', 'SE', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'UY', 'VN']""","""

Whooo umm yeah
Life is like a road that you travel on
When there is one day here and the next day gone
Sometimes you bend, sometimes you stand
Sometimes you turn your back to the wind
There is a world outside every darkened door
Where blues will not haunt you anymore
Where brave are free and lovers soar
Come ride with me to the distant shore
We won't hesitate
To break down the garden gate
There's not much time left today

Life is a highway
I want to ride it all night long
If you are going my way
I want to drive it all night long

Through all these cities and all these towns
It is in my blood and it is all around
I love you now like I loved you then
This is the road and these are the hands
From Mozambique to those Memphis nights
The Khyber Pass to Vancouver's lights
Knock me down get back up again
You are in my blood
I am not a lonely man
There is no load I cannot hold
Road so rough this I know
I will be there when the light comes in
Just tell them we are survivors

Life is a highway
I want to ride it all night long
If you are going my way
I want to drive it all night long
Give me give me give me give me yeah

Life is a highway
I want to ride it all night long
If you are going my way
I want to drive it all night long
There was a distance between you and I (between you and I)
A misunderstanding once
But now we look it in the eye
Ooh, yeah
There ain't no load that I can't hold
The roads are rough, this I know
I'll be there when the light comes in
Just tell them we're survivors

Life is a highway
I want to ride it all night long
If you're going my way
I want to drive it all night long
Life is a highway
I want to ride it all night long
If you're going my way
I want to drive it all night long
Life is a highway
I want to ride it all night long
If you're going my way
I want to drive it all night long
Give me give me give me give me yeah
""","1.0","0.00618","https://p.scdn.co/mp3-preview/0681fbbfd3138a5a41a28c7f25ee896a8c535d44?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c","Raag Mishra Shirvranjani Taal Deepchandi"
"0uS7eyvSfWmyVd2QSjcIBi","https://api.spotify.com/v1/tracks/0uS7eyvSfWmyVd2QSjcIBi","6a7aprjz2Fa38VG4UrdawI","7.0","1.0","['7MJ1pB5d6Vjmzep2zQlorn', '1ZRTbgZMGs9HTI6SpMkySa', '2Jp1IUkeVQEQ52hD5ca9kk', '67K0cyAafV3Do2DK8DC3tZ']","0.0262","-29.019","0.143","0.391","All About That Brass","0.0545","9.0","0.108","134.229","204973.0","0.972","""['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']""","-99","1.0","0.896","https://p.scdn.co/mp3-preview/369bde85f32f67ce9a751f0ca0d13c7a34fed0e9?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c","Fanfare for St. Edmundsbury for 3 Trumpets"
"4ZmpPJu31jo97H26ia4234","https://api.spotify.com/v1/tracks/4ZmpPJu31jo97H26ia4234","0nADFh0iS3XQTu1CrCpMCj","0.0","1.0","['31ZNfGVEEcI9CyicPVJQni', '1ImNRlcEkiJ3AxxPdmioIx']","0.893","-5.318","0.137","0.852","Housewerk","0.0667","49.0","0.062","122.995","212683.0","0.0171","""['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']""","""

In my arms, it'll—
I got you in my arms, it’ll—

Don't wait here too long, we will be just fine
Stay, we belong and we're flying high
Don’t break in my arms, it'll be alright
We'll be alright, I'm right by your side

Don't nobody wanna see us together
Ain't nobody wanna see you smile
I got your back whatever the weather
Whatever the time, whatever the time, whatever the time

I got you in my arms and I'll be alright
I got you in my arms and I'll be alright
I got you in my arms and I’ll be alright
I got you in my arms and I’ll be alright

In my arms, it'll—
I got you in my arms, it’ll—
Ooh

Know you got to work for it
It's not a game 'cause I'm all in if you want it
Better keep it up once you got it
And I’ll ride along
You're all that I want through the night and day
Love in my heart takes my breath away
Your touch is a drug running through my veins
Through my veins, takes my breath away

Don't nobody wanna see us together
Ain't nobody wanna see you smile
I got your back whatever the weather
Whatever the time, whatever the time, whatever the time

I got you in my arms and I'll be alright
I got you in my arms and I'll be alright
I got you in my arms and I'll be alright
I got you in my arms and I'll be alright
I got you—

Know you got to work for it
It's not a game 'cause I'm all in if you want it
Better keep it up once you got it
And I'll ride along

I got you in my arms and I'll—
I got you in my arms and I'll—
I got you in my arms and I'll—
I got you in my arms and I'll—
""","1.0","0.0708","https://p.scdn.co/mp3-preview/1ef6369e635cddc314fc4bbb7811cb0f71b0a0b8?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c","Come Alive"
"00MC1lkrhAihH0IrJ5yXXM","https://api.spotify.com/v1/tracks/00MC1lkrhAihH0IrJ5yXXM","4Z7liTtEfQtChIS4l049lI","5.0","1.0","['0Odg6UKDVyJQruefzF19FU', '6xolQjWFT24ykWke55u9fU']","0.658","-5.618","0.896","0.731","Rap Tuga","0.242","48.0","0.363","96.956","191210.0","0.532","""['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']""","""

Agora sei que me estás a ouvir
Entre as estrelas vens, ensinar-me a sorrir
Porque agora sei, estás onde és feliz
Vemo-nos por aí

Yeah... Tu foste demasiado cedo
Nem uma pomba branca
Eu tou aqui com nó de marinheiro na garganta
Eu disse a Deus para te guardar
Mas foi tudo tão veloz, uns dizem que morreste
Eu digo que tu vives em nós
E por mais que se fale os sacrifícios são teus
Enquanto ao resto ninguém sabe
Infindáveis são os desígnios de Deus
Eu espero que o Céu receba as minhas palavras
De revolta não há lágrimas que eu verta que te possam trazer de volta
Tantas lições que eu retiro ao recordar e ver a vida
Se escapar de ti num último suspiro
Foi cruel e foi tão cedo e ainda encontraste forças
Para nos confortar a todos e dizer """"""Não tenham medo""""""
Para termos Fé naquele que te fortalece
E todos juntos em circo fizemos uma prece
Pedindo aos anjos para virem fazer morada ao teu redor
Para te pouparem te levarem daqui para um lugar melhor

Agora sei que me estás a ouvir
Entre as estrelas vens, ensinar-me a sorrir
Porque agora sei, estás onde és feliz
Vemo-nos por aí

Minha vida nada tem de especial
Comparada com a luta que tiveste naquela cama de hospital
Embora esperada a tua ida não tem nexo
Eu olho para os teus filhos e só vejo o teu reflexo
Tinhas os dias contados, hoje eu sei que eles eram poucos
Guardaste isso contigo só para nos poupar a todos
E no fundo eu agradeço esse heroísmo
Entre a alegria de viveres e a dor de te ter perdido
Uns recordam o teu sorriso, outros o feitio
Ao lembrar de ti apenas choro tudo o que eu contive
Em conversas contigo eu peço-te que olhes por mim
E por todos os que rezam e também pensam em ti
Sei que não querias tristeza cada lágrima é uma dívida
Quando eu te vir cobra-me com um choro de alegria
Uma coisa eu te prometo, sempre que se faça dia
Não lamento a tua morte, mas celebro a tua vida

Agora sei que me estás a ouvir
Entre as estrelas vens, ensinar-me a sorrir
Porque agora sei, estás onde és feliz
Vemo-nos por aí
Agora sei que me estás a ouvir
Entre as estrelas vens, ensinar-me a sorrir
Porque agora sei, estás onde és feliz
Vemo-nos por aí
""","1.0","0.0","https://p.scdn.co/mp3-preview/2c3a32db6d736d0c2636499a0e3bc3d2499f47bb?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c","Contigo"
"7qVbgfYUPrcPcJtqZoRis3","https://api.spotify.com/v1/tracks/7qVbgfYUPrcPcJtqZoRis3","2LIMA6SrPnsD5DMZQRFNSJ","4.0","3.0","['4BxCuXFJrSWGi1KHcVqaU4', '2IjiuEObrCKyZvSb8xLxG9']","0.654","-8.531","0.153","0.693","Party Deluxe","0.042","55.0","0.0829","120.016","282427.0","0.315","""['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IL', 'IN', 'IS', 'IT', 'JO', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UY', 'VN', 'ZA']""","""
(High hopes high hopes high hopes high hopes...)
(High hopes high hopes high hopes high hopes...)
Broken bottles in the hotel lobby
Seems to me like I'm just scared of never feeling it again
I know it's crazy to believe in silly things
But it's not that easy
I remember it now, it takes me back to when it all first started
But I've only got myself to blame for it, and I accept that now
It's time to let it go, go out and start again
But it's not that easy (that easy that easy)
(High hopes it takes me back to when we started)
High hopes, when you let it go, go out and start again
High hopes, ooh when it all comes to an end
But the world keeps spinning around
But I've got high hopes, it takes me back to when we started
High hopes, when you let it go, go out and start again
High hopes, ooh when it all comes to an end
But the world keeps spinning around
(High hopes high hopes high hopes high hopes...)
(High hopes high hopes high hopes high hopes...)
Broken bottles in the hotel lobby
Seems to me like I'm just scared of never feeling it again
I know it's crazy to believe in silly things
But it's not that easy
I remember it now, it takes me back to when it all first started
But I've only got myself to blame for it, and I accept that now
It's time to let it go, go out and start again
But it's not that easy
But I've got high hopes, it takes me back to when we started
High hopes, when you let it go, go out and start again
High hopes, ooh when it all comes to an end
But the world keeps spinning spinning
But I've got high hopes, it takes me back to when we started
High hopes, when you let it go, go out and start again
High hopes, ooh when it all comes to an end
But the world keeps spinning
(High hopes high hopes high hopes high hopes...)
(High hopes high hopes high hopes high hopes...)
""","1.0","0.00862","https://p.scdn.co/mp3-preview/19e57f6bdd1cf60e99a87a1374e8843b5c90d559?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c","High Hopes - filous Remix"
"0PViHCKLy5Ryr9cxmxlmHB","https://api.spotify.com/v1/tracks/0PViHCKLy5Ryr9cxmxlmHB","04dqwIr6oguHGKXE1PY7Ol","1.0","1.0","['6MDME20pz9RveH9rEXvrOM', '0X2BH1fck6amBIoJhDVmmJ', '1N9n8MSxrr4Emhb566493b']","0.741","-4.32","0.544","0.792","Dance It","0.04","53.0","0.194","112.061","177506.0","0.627","""['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']""","""

Oh mama, ooh la, ooh la, ooh la
Don't know what this is
Oh mama, ooh la, ooh la, ooh la
Oh, what do I do now?

I see my body in a different light, ay ay ay
As if I woke up in a different life, ay ay ay
Feels like I'm walking with my heart on fire
Somebody pass me the water 'cause I'm burning

'Cause a little bit's turning into a lot
There's no way I'll be turning the feeling off
Guess I'm everything that I thought I was not
Tell me, tell me, ay ay ay

Oh mama, ooh la, ooh la, ooh la
Don't know what this is
What do I do now, do now, do now
Do with all of this?
All of these new emotions
I let them out in the open
Oh mama, ooh la, ooh la, ooh la
Oh, what do I do now?

I've never felt so good, I feel so soft, na na na
And now I know myself, I know my spots, na na na
I didn't know that I could have these thoughts, yeah yeah
Somebody pass me the water 'cause I'm burnin'
¡Qué calor!

'Cause a little bit's turning into a lot
There's no way I'll be turning the feeling off
Guess I'm everything that I thought I was not
Tell me, tell me, ay ay ay

Oh mama, ooh la, ooh la, ooh la
Don't know what this is
What do I do now, do now, do now
Do with all of this?
All of these new emotions
I let them out in the open
Oh mama, ooh la, ooh la, ooh la
Oh, what do I do now?

Everything I thought I knew about me's upside down
Everything is changing, but I think I love it now, ay ay ay

Oh mama, ooh la, ooh la, ooh la
Don't know what this is
What do I do now, do now, do now
Do with all of this?
All of these new emotions
I let them out in the open
Oh mama, ooh la, ooh la, ooh la
Oh, what do I do now?

All of these new emotions
I let them out in the open
Oh mama, ooh la, ooh la, ooh la
Oh, what do I do now?
""","1.0","0.0","https://p.scdn.co/mp3-preview/c4c3cde82e0c8f6a568c0cf88cc6b1498360ca20?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c","Mama (feat. Ellie Goulding) - Morgan Page Remix"
"4HM8clsA4Pt47K4ENgJlo3","https://api.spotify.com/v1/tracks/4HM8clsA4Pt47K4ENgJlo3","0rdtx9JOcYikLL8zKRnvYd","9.0","3.0","['6J6yx1t3nwIDyPXk5xa7O8']","0.942","-4.644","0.142","0.51","Festivaleando","0.115","44.0","0.481","151.983","234627.0","0.0585","""['AD', 'AE', 'AR', 'AT', 'AU', 'BE', 'BG', 'BH', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'SA', 'SE', 'SG', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'US', 'UY', 'VN', 'ZA']""","""

Ocurrimos en la noche
Con ojeras algo largas
Son continuos ya los roces
Cicatrices enlazadas
Ahora somos como aire
Y la luna ya no brilla
Será la polución
O es que ya no tiene pilas
Un ejército de restos
Dando tumbos por las calles
Serán la prueba de
Que ya no somos nadie
Ocurrió un 12 de enero
Con los huesos algo frios
Cuando me dijiste Diego
Esto ya no es como antes
Animales nocturnos por Madrid
Hacen cola para ver el espectáculo
Los vecinos nos ofrecen sus aplausos
Por la obra que ha llegado a su fin
Un eco en la noche
Un eco en la noche
Es lo que nos quedó
Fueron 300 golpes
Un eco en la noche
Un eco en la noche
Es lo que nos quedó
Fueron 300 golpes
Animales nocturnos por Madrid
Hacen cola para ofrecer sus aplausos
Los mosquitos no se acercan por si acaso
Nuestra sangre no se puede digerir
Un eco en la noche
Un eco en la noche
Es lo que nos quedó
Fueron 300 golpes
Un eco en la noche
Un eco en la noche
Es lo que nos quedó
Fueron 300 golpes
Fueron 300 golpes
""","1.0","0.163","https://p.scdn.co/mp3-preview/153523aa29037a648f7fc812e0ac6c0e85837580?cid=b3cdb16d0df2409abf6a8f6c2f6c2e0c","Golpe Maestro - En Directo"
